,title,ad_url,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
0,"
                            Furnished Flat in Core Downtown
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-flat-in-core-downtown/1512246081?null&siteLocale=en_CA,"155 Wellesley St E, Toronto, ON M4Y 1J4, Canada",Apartment,1600,1,1,43.6663537,-79.3753739,1,1,1,1,1,0,1,800,1,0,94,88,73,https://i.ebayimg.com/00/s/NTQ2WDgwMA==/z/8RQAAOSw5S5fDmWq/$_27.JPG,https://i.ebayimg.com/00/s/NTM0WDgwMA==/z/nu4AAOSwIzBfDmW6/$_2.JPG,https://i.ebayimg.com/00/s/NTM0WDgwMA==/z/OWkAAOSwyJRfDmXF/$_2.JPG
1,"
                            Room for rent on 3rd floor, 15 mins to Victoria Park station
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/room-for-rent-on-3rd-floor-15-mins-to-victoria-park-station/1512245930?null&siteLocale=en_CA,"1481 Kingston Rd, Scarborough, ON M1N 1R5, Canada",Apartment,650,2.5,1,43.6884433,-79.2694973,1,1,1,1,1,0,0,128,1,0,39,65,63,https://i.ebayimg.com/00/s/MzAwWDgwMA==/z/K98AAOSw2MxfDm1-/$_27.JPG,https://i.ebayimg.com/00/s/MzkwWDgwMA==/z/nJEAAOSwcVdfDm2J/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/lNkAAOSwQz1fDm2W/$_2.JPG
2,"
                            APPROVAL TO RENT WHEN YOU NEED IT
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/approval-to-rent-when-you-need-it/1512245381?null&siteLocale=en_CA,", York M6N 2H6 ON, Canada",Apartment,2066,1,1,43.678462,-79.4818135,0,1,1,1,1,1,1,703,0,1,29,74,47,,,
3,"
                            APPLY AND GET APPROVED TO RENT
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/apply-and-get-approved-to-rent/1512243242?null&siteLocale=en_CA,", Scarborough M1M 1R5 ON, Canada",Apartment,2095,1,1,43.7384165,-79.2181513,0,1,1,1,1,1,1,709,0,1,61,67,56,,,
4,"
                            Beautiful, bright and renovated 2 bed. Apt. in High Park.
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-bright-and-renovated-2-bed-apt-in-high-park/1512241969?null&siteLocale=en_CA,"Indian Grove, Toronto, ON M6P 2H2, Canada",Apartment,2100,2,1,43.6577023,-79.4599541,0,1,1,1,1,0,0,750,0,1,68,97,80,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/jq8AAOSw0otfDmb0/$_27.PNG,https://i.ebayimg.com/00/s/MjI1WDMwMA==/z/7lgAAOSw-2NfDmii/$_2.JPG,https://i.ebayimg.com/00/s/MjI1WDMwMA==/z/qFYAAOSwuYFfDmid/$_2.JPG
5,"
                            Bloor/sherbourne 1bachelor apartment long or short term
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bloor-sherbourne-1bachelor-apartment-long-or-short-term/1512240707?null&siteLocale=en_CA,"570 Sherbourne St, Toronto, ON M4X 1L3, Canada",Apartment,1350,1,1,43.6703913,-79.3762787,0,0,0,1,0,0,0,500,1,0,88,88,97,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/RqUAAOSwRaNfDmTi/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/TOMAAOSwNEhfDmSN/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/J6cAAOSwDHxfDmTg/$_2.JPG
6,"
                            1BR Apt. in Etobicoke - $600
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1br-apt-in-etobicoke-600/1512240080?null&siteLocale=en_CA,"3287 Lake Shore Blvd W, Etobicoke, ON M8V 1M4, Canada",Apartment,590,1,1,43.5965224,-79.5238262,0,1,0,0,0,0,0,380,1,0,62,65,83,,,
7,"
                            2 BR Apartment downtown @ King & Bathurst Utilities included
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-br-apartment-downtown-king-bathurst-utilities-included/1512239787?null&siteLocale=en_CA,", M6J 3S5, Toronto, ON",Apartment,2100,2,1,43.6430999,-79.4149129,1,1,1,1,0,1,0,800,0,1,90,90,62,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/B6IAAOSw339fDmMa/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/gowAAOSwd2JfDmMi/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/tXoAAOSwMw5fDmMq/$_2.JPG
8,"
                            WE HELP YOU APPLY WITH LOW CREDIT
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/we-help-you-apply-with-low-credit/1512239359?null&siteLocale=en_CA,", Etobicoke M9V 4A3 ON, Canada",Apartment,2064,1,1,43.7406884,-79.5942299,0,1,1,1,1,1,1,700,1,1,35,76,54,,,
9,"
                            Downtown refurbished 2 bedr apart for rent. 10 min from UofT
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-refurbished-2-bedr-apart-for-rent-10-min-from-uoft/1512239253?null&siteLocale=en_CA,"608 Bathurst. Street, M5S 2R1, Toronto, ON",Apartment,2800,2,1,43.6599582,-79.4092769,1,1,1,0,1,0,0,120,0,1,88,96,10,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/iBUAAOSw8WZfDl~v/$_27.JPG,https://i.ebayimg.com/00/s/NjAxWDgwMA==/z/Z~kAAOSwOqZfDl~4/$_2.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/zlwAAOSwF9FfDl~y/$_2.JPG
