,title,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
1,"
                            1 Bedroom Apartment for Rent at 2885 St. Clair Avenue East
                        ","2885 St Clair Ave E, East York, ON M4B 1N4, Canada",Apartment,1500.0,1,1,43.707505,-79.30274039999999,0.0,1.0,1.0,0.0,0.0,0,0.0,700,0.0,0.0,62,64,60,https://i.ebayimg.com/00/s/ODAwWDUzMw==/z/f9MAAOSwdeNe~KjN/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDUzMw==/z/zBEAAOSwxWFe~Kkb/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDUzMw==/z/OVAAAOSwODJe~Kke/$_2.JPG
2,"
                            Main floor apt for Rent at Greenwood and Dundas
                        ","Highfield Rd, Toronto, ON M4L 2T7, Canada",Apartment,1700.0,1 + Den,1,43.667727,-79.32341219999999,1.0,1.0,1.0,1.0,1.0,0,0.0,1,0.0,0.0,80,74,90,https://i.ebayimg.com/00/s/ODAwWDUyOQ==/z/26EAAOSwk7Ve~KX5/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDUyOQ==/z/HeIAAOSwoRle~KYk/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDUyOQ==/z/dVAAAOSwU0de~KZB/$_2.JPG
3,"
                            Bathurst/St.Clair Large 3 bedroom Apartment For Rent
                        ","Kenwood Ave, York, ON M6C 2S1, Canada",Apartment,3000.0,3,1,43.68512580000001,-79.42294129999999,0.0,1.0,0.0,1.0,1.0,0,0.0,"1,075",0.0,0.0,80,85,62,https://i.ebayimg.com/00/s/Mjc3WDM3MA==/z/Oa8AAOSwb71ealkv/$_27.JPG,https://i.ebayimg.com/00/s/MjcwWDM2Ng==/z/0ooAAOSw9rJealkq/$_2.JPG,https://i.ebayimg.com/00/s/Mjc0WDM2OA==/z/zAkAAOSwq8Fealky/$_2.JPG
4,"
                            Bathurst & St. Clair Large 2 Bedroom Apartment For Rent
                        ",", Toronto m6c2s1 ON, Canada",Apartment,2000.0,2,1,43.6851224,-79.4227396,0.0,1.0,0.0,1.0,1.0,0,0.0,850,0.0,0.0,86,86,88,https://i.ebayimg.com/00/s/Mjc3WDM3MA==/z/IS4AAOSwz2VesYBH/$_27.JPG,https://i.ebayimg.com/00/s/MjcwWDM2Ng==/z/a7gAAOSwzTFesYCQ/$_2.JPG,https://i.ebayimg.com/00/s/Mjg4WDM3Nw==/z/k6AAAOSwnTBesYBX/$_2.JPG
5,"
                            Street Entrance,walking distance to U of T, Hospitals+Kensington
                        ","257  College, Toronto M5R1T5 ON, Canada",Apartment,1750.0,1,1,43.6773891,-79.3907253,0.0,1.0,1.0,0.0,0.0,0,0.0,950,0.0,0.0,91,88,79,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/CXsAAOSwIPde~J57/$_27.JPG,https://i.ebayimg.com/00/s/NjEzWDQ3Nw==/z/qvEAAOSwb~Ve~J55/$_2.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/qzwAAOSwb~Ve~J6~/$_2.JPG
6,"
                            1 bedroom apartment 1 block from Trinity Bellwoods
                        ",", Toronto M5V1K1 ON, Canada",Apartment,1700.0,1,1,43.645396,-79.39424389999999,0.0,0.0,0.0,0.0,1.0,0,0.0,500,0.0,1.0,98,10,97,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/jwsAAOSwUIhe~JYr/$_27.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/VokAAOSwSjle~JYu/$_2.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/XWkAAOSwGb9e~JYi/$_2.JPG
7,"
                            Pet friendly two bedroom Beaches apartment August 1
                        ","Scarborough Rd, Toronto, ON M4E, Canada",Apartment,2275.0,2,1,43.6800869,-79.2868824,0.0,0.0,1.0,1.0,1.0,0,0.0,950,0.0,1.0,85,76,48,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/9XMAAOSwkF1e~Ira/$_27.JPG,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/a8sAAOSwtsJe~IsK/$_2.JPG,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/On8AAOSw~1Be~Isv/$_2.JPG
8,"
                            Newly RenovatedOne Bedroom BasementApartment besideBusYong&Finch
                        ","438 Drewry Ave, M2R 2K5, Northyork, ON",Basement,1600.0,1,1,43.7825443,-79.4392041,0.0,0.0,0.0,1.0,0.0,1,0.0,700,0.0,1.0,32,65,60,https://i.ebayimg.com/00/s/NDgwWDM1OQ==/z/2r4AAOSwkCRe~IiQ/$_27.JPG,https://i.ebayimg.com/00/s/NDgwWDM1OQ==/z/LvkAAOSw8lle~Iis/$_2.JPG,https://i.ebayimg.com/00/s/NDgwWDM1OQ==/z/7EgAAOSw3dNe~IjU/$_2.JPG
9,"
                            Large 2 bedroom + Den with south facing terrace!
                        ","21 Grand Magazine St, Toronto, ON M5V 1B5, Canada",Apartment,3650.0,2.5,25,43.6364097,-79.4020034,0.0,1.0,1.0,1.0,1.0,1,1.0,"1,305",0.0,1.0,85,98,10,http://img.youtube.com/vi/U_RnI_HKKgw/0.jpg,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/18sAAOSw6mZe~IXJ/$_2.JPG,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/7NwAAOSwHQJe~IXN/$_2.JPG
10,"
                            48 Isabella - 1 Bedroom Apartment for Rent
                        ","48 Isabella Street, Toronto, ON, M4Y 1N2",Apartment,1850.0,1,1,43.6683733,-79.3834467,0.0,1.0,1.0,1.0,1.0,0,0.0,756,0.0,0.0,98,91,75,https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/tB0AAOSwbapfBux0/$_27.JPG,https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/8m0AAOSw3u9fBux0/$_2.JPG,https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/5IYAAOSwwI5fBux0/$_2.JPG
11,"
                            39 Kimbercroft Court  - 2 Bedroom + Den Apartment for Rent
                        ","39 Kimbercroft Court, Toronto, ON, M1S 5B5",Apartment,2100.0,2.5,2,43.7911801,-79.2388993,0.0,1.0,1.0,1.0,1.0,0,0.0,"1,400",0.0,1.0,56,68,38,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/4W8AAOSwQJ9e~G9o/$_27.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/xqoAAOSwgDle~G9p/$_2.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/~ksAAOSwODJe~G9p/$_2.JPG
12,"
                            1 Bedroom Suite near High Park & the Junction!
                        ","Weston Rd, Ontario, Canada",Apartment,1200.0,1,1,43.6799076,-79.47527339999999,1.0,1.0,1.0,1.0,0.0,1,0.0,1,1.0,1.0,66,74,64,https://i.ebayimg.com/00/s/NDYzWDU1MA==/z/06oAAOSwggJe~Cqo/$_27.JPG,https://i.ebayimg.com/00/s/NDAwWDgwMA==/z/2b0AAOSw-Cte~Cra/$_2.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/gccAAOSwGTBe~CsK/$_2.JPG
13,"
                            Renovated 2bdrm bsmt apt with outdoor space - Aug 1, inclusive
                        ",", Toronto M6R3E3 ON, Canada",Apartment,1475.0,2,1,43.653226,-79.3831843,1.0,1.0,1.0,1.0,1.0,0,0.0,700,0.0,1.0,10,10,57,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/mdAAAOSwcpte~AU7/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/BloAAOSwqRFe~AUo/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/ECQAAOSwkLNe~AUs/$_2.JPG
14,"
                            3 Bedroom Apartment (furnished) - Little Italy
                        ",", Toronto m6j2k8 ON, Canada",Apartment,3800.0,3,1,43.65353229999999,-79.4114831,0.0,0.0,0.0,1.0,0.0,0,0.0,"1,200",1.0,1.0,80,87,60,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/aj8AAOSwgPhe~ABo/$_27.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/OIEAAOSwExhe~ABs/$_2.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/sGIAAOSwH9he~ABw/$_2.JPG
15,"
                            2 bedroom furnished basement apt for rent
                        ",", North York M3H4N5 ON, Canada",Basement,1800.0,2,1,43.7629065,-79.4533362,1.0,1.0,1.0,1.0,0.0,0,0.0,625,1.0,1.0,24,61,35,http://img.youtube.com/vi/40Pd78S2gkQ/0.jpg,https://i.ebayimg.com/00/s/NTMxWDgwMA==/z/Tn0AAOSwxNte6YUj/$_2.JPG,https://i.ebayimg.com/00/s/NTMxWDgwMA==/z/Pg8AAOSwN5Ve6YUo/$_2.JPG
16,"
                            Fully furnished basement apartment Little Portugal
                        ","80 Mackenzie Crescent, TORONTO M6J 1T3 ON",Basement,1800.0,Bachelor/Studio,1,43.6486453,-79.4273204,1.0,1.0,1.0,1.0,0.0,0,0.0,600,1.0,0.0,81,86,89,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/KbcAAOSwAwVe-~W4/$_27.JPG,https://i.ebayimg.com/00/s/NTc3WDgwMA==/z/YygAAOSw7z1e-~Wy/$_2.JPG,https://i.ebayimg.com/00/s/NTcwWDgwMA==/z/xQ8AAOSwRM9e-~W1/$_2.JPG
17,"
                            Condo apartment for rent. 1 + 1 bedroom, 1 + 1 washroom
                        ","77 Shuter St, Toronto, ON M5B, Canada",Condo,2100.0,1 + Den,1.5,43.6551361,-79.3749533,0.0,0.0,0.0,1.0,0.0,0,0.0,700,1.0,1.0,97,99,97,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/MMYAAOSwJp5e-~Ru/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/Mu0AAOSwEuRe-~SH/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/Vm0AAOSwmh9e-~SN/$_2.JPG
