,title,ad_url,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
0,"
                            Aquavista #3176 - Luxury Condo for Rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/aquavista-3176-luxury-condo-for-rent/1507572517?null&siteLocale=en_CA,"1 Edgewater Drive, Toronto, ON, M5A 0L1",Apartment,2650.0,2,2,43.644939,-79.36367,0.0,0.0,0.0,0.0,0.0,0,1.0,751,0.0,0.0,77,91,98,https://i.ebayimg.com/00/s/NzU2WDEwMDg=/z/QQcAAOSwYv5fCGFW/$_27.JPG,https://i.ebayimg.com/00/s/OTUwWDU0MQ==/z/AX4AAOSwgihfCGFV/$_2.JPG,https://i.ebayimg.com/00/s/NzU2WDEwMDg=/z/qDgAAOSwV85fCGFX/$_2.JPG
1,"
                            Boulevard #592 - Luxury Condo for Rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/boulevard-592-luxury-condo-for-rent/1507572256?null&siteLocale=en_CA,"188 Doris Avenue, Toronto, ON, M2N 6Z5",Apartment,1895.0,1,1,43.76749,-79.410428,0.0,0.0,0.0,0.0,0.0,0,1.0,650,0.0,0.0,92,88,58,https://i.ebayimg.com/00/s/NTcyWDcwMA==/z/5rAAAOSwLYRe7dtm/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/x-cAAOSwk-Ne7dtm/$_2.JPG,https://i.ebayimg.com/00/s/NTcyWDcwMA==/z/TU8AAOSwjGte7dtm/$_2.JPG
2,"
                            Port Royal Place IV - 7 Michael Power #1305 - Luxury Condo...
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/port-royal-place-iv-7-michael-power-1305-luxury-condo/1507571241?null&siteLocale=en_CA,"7 Michael Power Place, Toronto, ON, M9A 0A4",Apartment,2100.0,1,1,43.644276,-79.529871,0.0,0.0,0.0,0.0,0.0,0,1.0,645,0.0,0.0,76,97,62,,,
3,"
                            fully furnished 2 bedroom apartment
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/fully-furnished-2-bedroom-apartment/1513030138?null&siteLocale=en_CA,"134 Dundas St E, Toronto, ON M5B 1E2, Canada",Apartment,2290.0,2,1,43.6568241,-79.3761741,1.0,1.0,1.0,1.0,0.0,1,0.0,650,1.0,1.0,96,97,99,https://i.ebayimg.com/00/s/MjkwWDU0MA==/z/tUoAAOSw88tfFDut/$_27.JPG,https://i.ebayimg.com/00/s/MjkwWDU0MA==/z/huIAAOSw5F9fFDux/$_2.JPG,https://i.ebayimg.com/00/s/MjkwWDU0MA==/z/4zQAAOSwVH1fFDu1/$_2.JPG
4,"
                            Yonge_Steeles Furnish Basement Room 24 HR Bus North York Toronto
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge_steeles-furnish-basement-room-24-hr-bus-north-york-toronto/1513176392?null&siteLocale=en_CA,", toronto m2m3x9 ON, Canada",Apartment,689.0,1,1,43.7975635,-79.4196618,1.0,1.0,1.0,1.0,0.0,0,0.0,577,0.0,1.0,77,75,50,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/1M8AAOSw2VpfFOO0/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/1dUAAOSwqLFfFOO9/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/aWQAAOSwpjRfFOPD/$_2.JPG
5,"
                            Modern 1+ bdrm apartment - won’t last long!
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/modern-1-bdrm-apartment-won-t-last-long/1513170068?null&siteLocale=en_CA,"Invermarge Dr, Scarborough, ON M1C 3E8, Canada",Apartment,1550.0,1.5,1,43.7803195,-79.1529789,0.0,0.0,0.0,1.0,0.0,1,0.0,1000,0.0,1.0,12,58,33,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/9JsAAOSwULNfFNrR/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/7o8AAOSw0tNfFNs4/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/M3cAAOSwlGxfFNrJ/$_2.JPG
6,"
                            ►►► 3 BR FRESHLY RENO’ed UNIT by the lake-Avail. now►►►
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-br-freshly-reno-ed-unit-by-the-lake-avail-now/1513169341?null&siteLocale=en_CA,"Lakeshore Blvd West/ Kipling Ave, Canada",Apartment,2299.0,3,1,43.5982045,-79.5169695,0.0,0.0,0.0,1.0,1.0,0,0.0,1500,0.0,1.0,68,65,79,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/YdUAAOSwsq5fFNow/$_27.JPG,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/J1EAAOSwjj1fFNoy/$_2.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/5-QAAOSw4vZfFNo0/$_2.JPG
7,"
                            ►►► 1 BR Appartment by the lake-Avail. August 1 ►►►
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-br-appartment-by-the-lake-avail-august-1/1513167632?null&siteLocale=en_CA,"Lakeshore Blvd West/ Kipling Ave, Canada",Apartment,1625.0,1,1,43.5982045,-79.5169695,0.0,0.0,0.0,1.0,1.0,0,0.0,850,0.0,1.0,68,65,79,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/U1QAAOSwHfpfFNT6/$_27.JPG,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/nhYAAOSw6DtfFNT7/$_2.JPG,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/rpIAAOSwo8FfFNT9/$_2.JPG
8,"
                            DT Prime location House with 2bedrooms apartment.
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/dt-prime-location-house-with-2bedrooms-apartment/1513165288?null&siteLocale=en_CA,"481 Ontario St, Toronto, ON M4X 1M6, Canada",Apartment,1100.0,2,1,43.6644237,-79.3705797,1.0,1.0,1.0,1.0,1.0,0,0.0,750,1.0,1.0,91,83,10,http://img.youtube.com/vi/YVZkgj4jT40/0.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/95sAAOSwPzZfFNVo/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/mpQAAOSwWZtfFNVr/$_2.JPG
9,"
                            Beautiful Basement Apartment For Rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-basement-apartment-for-rent/1513164803?null&siteLocale=en_CA,", Toronto M6E4P4 ON",Apartment,1700.0,1.5,1,43.6768051,-79.4543911,1.0,1.0,1.0,1.0,0.0,0,0.0,750,0.0,1.0,87,76,71,https://i.ebayimg.com/00/s/NDg3WDY1MA==/z/1UYAAOSwsuBfFNMo/$_27.JPG,https://i.ebayimg.com/00/s/NTA1WDY3NA==/z/bKQAAOSw0LJfFNMu/$_2.JPG,https://i.ebayimg.com/00/s/NTA1WDY3NA==/z/tDQAAOSwsvtfFNM1/$_2.JPG
