,title,ad_url,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
0,"
                            1 Bed + DEN! Bright Luxury Rental - 27th Floor! Amazing Views!
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-den-bright-luxury-rental-27th-floor-amazing-views/1510825268?null&siteLocale=en_CA,"310 & 320 Tweedsmuir Ave, Toronto, ON, M5P 2Y2",Apartment,2395.0,1.5,1,43.6858938,-79.41455909999999,0.0,1.0,1.0,1.0,0.0,0,1.0,620,0.0,1.0,84,85,56,https://i.ebayimg.com/00/s/NjE5WDExMDA=/z/CBIAAOSweYlfCMl6/$_27.JPG,https://i.ebayimg.com/00/s/NjE5WDExMDA=/z/vmEAAOSwUd9fCMl7/$_2.JPG,https://i.ebayimg.com/00/s/NjE5WDExMDA=/z/RpAAAOSwH4BfCMl3/$_2.JPG
1,"
                            Spacious & Bright Luxury Rental in the Heart Forest Hill! HUGE!
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-bright-luxury-rental-in-the-heart-forest-hill-huge/1507319026?null&siteLocale=en_CA,"310 & 320 Tweedsmuir Ave, Toronto, ON, M5P 2Y2",Apartment,4455.0,2,2,43.6858938,-79.41455909999999,0.0,1.0,1.0,1.0,0.0,0,1.0,1457,0.0,1.0,84,85,56,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/h9gAAOSw9uRfBMjF/$_27.JPG,https://i.ebayimg.com/00/s/NjE5WDExMDA=/z/Ri0AAOSwQE9fBMjE/$_2.JPG,https://i.ebayimg.com/00/s/NjE5WDExMDA=/z/yicAAOSwo9JfBMjE/$_2.JPG
2,"
                            Bachelor Apartment For Rent (Mount Pleasant and Eglinton)
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-for-rent-mount-pleasant-and-eglinton/1513334218?null&siteLocale=en_CA,", Mount Pleasant and Eglinton M4S 2N3 ON, Canada",Apartment,1380.0,1,1,43.7084188,-79.3901537,0.0,1.0,1.0,1.0,0.0,0,0.0,350,0.0,0.0,93,87,70,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/h2kAAOSwVjJfFgwQ/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/GH4AAOSwWCJfFgrg/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/8fUAAOSwQY1fFgrd/$_2.JPG
3,"
                            Bay & Wellesley: 1405- 1 Bedroom + Den 801 sf
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bay-wellesley:-1405-1-bedroom-den-801-sf/1505842124?null&siteLocale=en_CA,"925 Bay Street, Toronto, ON, M5S 3L4",Apartment,2508.0,1.5,1,43.6641656,-79.3867054,0.0,1.0,1.0,1.0,1.0,0,1.0,801,0.0,1.0,98,95,75,https://i.ebayimg.com/00/s/NjgzWDEwMjU=/z/sRcAAOSw21Fe5JaI/$_27.JPG,https://i.ebayimg.com/00/s/NjgzWDEwMjU=/z/sjYAAOSwcN9e5JaK/$_2.JPG,https://i.ebayimg.com/00/s/NjgzWDEwMjU=/z/M0QAAOSwSfVe5JaK/$_2.JPG
4,"
                            Large 1 bedroom + den in Yorkville on Bay St -2105 / 801 sf
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-1-bedroom-den-in-yorkville-on-bay-st-2105-801-sf/1505842131?null&siteLocale=en_CA,"925 Bay Street, Toronto, ON, M5S 3L4",Apartment,2508.0,1.5,1,43.6641656,-79.3867054,0.0,1.0,1.0,1.0,1.0,0,1.0,801,0.0,1.0,98,95,75,https://i.ebayimg.com/00/s/NjgzWDEwMjU=/z/hcYAAOSwYvJe5JaL/$_27.JPG,https://i.ebayimg.com/00/s/NjgzWDEwMjU=/z/kMIAAOSwL0xe5JaL/$_2.JPG,https://i.ebayimg.com/00/s/NjgzWDEwMjU=/z/yzUAAOSwYzVe5JaM/$_2.JPG
5,"
                            Large 1 Bed 1 Bath : Unit # 1709 Bay & Wellesley
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-1-bed-1-bath-:-unit-1709-bay-wellesley/1505738168?null&siteLocale=en_CA,"925 Bay Street, Toronto, ON, M5S 3L4",Apartment,2175.0,1,1,43.6641656,-79.3867054,0.0,1.0,1.0,1.0,1.0,0,1.0,519,0.0,1.0,98,95,75,https://i.ebayimg.com/00/s/MTUwMFgxMTky/z/~BQAAOSwJLde5JaJ/$_27.JPG,https://i.ebayimg.com/00/s/NjE5WDExMDA=/z/p4YAAOSwgJNe5JaK/$_2.JPG,https://i.ebayimg.com/00/s/NjE5WDExMDA=/z/JbUAAOSwIiVe5JaL/$_2.JPG
6,"
                            Amazing 1 bedroom in midtown Toronto for $1545!
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/amazing-1-bedroom-in-midtown-toronto-for-1545/1507971305?null&siteLocale=en_CA,"1532 Eglinton Ave W, York, ON M6E 2G8, Canada",Apartment,1545.0,1,1,43.6977108,-79.44158589999999,0.0,0.0,0.0,1.0,0.0,0,0.0,500,0.0,1.0,73,84,80,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/IIcAAOSwmZde8OIS/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/-ZAAAOSwuSZe8OIO/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/ycsAAOSwCxBe8OIV/$_2.JPG
7,"
                            Galleria - Two Bedroom Apartment for Rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/galleria-two-bedroom-apartment-for-rent/1505746202?null&siteLocale=en_CA,"77 Finch Avenue East, Toronto, ON, M2N 6H8",Apartment,2395.0,2,1,43.780286,-79.411615,0.0,1.0,1.0,1.0,0.0,0,1.0,800,0.0,1.0,77,99,55,https://i.ebayimg.com/00/s/NjM0WDExMjc=/z/5cAAAOSwSwte8yCN/$_27.PNG,https://i.ebayimg.com/00/s/NTM4WDEwMjQ=/z/JAEAAOSwcNBe8yCI/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/LZ8AAOSwhIRe8yCI/$_2.JPG
8,"
                            Galleria - Two Bedroom Apartment for Rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/galleria-two-bedroom-apartment-for-rent/1505746201?null&siteLocale=en_CA,"77 Finch Avenue East, Toronto, ON, M2N 6H8",Apartment,2445.0,2,15,43.780286,-79.411615,0.0,1.0,1.0,1.0,0.0,0,1.0,850,0.0,1.0,77,99,55,https://i.ebayimg.com/00/s/NjM0WDExMjc=/z/cz0AAOSwXode8yCO/$_27.PNG,https://i.ebayimg.com/00/s/NTM4WDEwMjQ=/z/AZoAAOSwUnhe8yCI/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/ZN0AAOSw161e8yCI/$_2.JPG
9,"
                            Brand New Renovated- 2 brm Apt - Cosburn Ave and Pape Ave
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-renovated-2-brm-apt-cosburn-ave-and-pape-ave/1508291680?null&siteLocale=en_CA,"175 Cosburn Ave, East York, ON M4J 2L1, Canada",Apartment,1775.0,2,1,43.6898201,-79.3451035,1.0,1.0,1.0,1.0,0.0,0,0.0,700,0.0,0.0,71,72,81,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/7mIAAOSwLg1e8ywe/$_27.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/IqcAAOSwNHZe8yxm/$_2.JPG,https://i.ebayimg.com/00/s/MjQwWDMyMA==/z/GNAAAOSw9u9e8yyJ/$_2.JPG
10,"
                            2 Bedroom 2 Bathroom Sublet Available Sept. 1st- Bay and Dundas
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-2-bathroom-sublet-available-sept-1st-bay-and-dundas/1512737282?null&siteLocale=en_CA,"570 Bay St, Toronto, ON M5G 0B2, Canada",Apartment,2754.0,2,2,43.6552908,-79.3839713,0.0,0.0,0.0,1.0,1.0,0,1.0,850,0.0,1.0,99,98,75,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/H7EAAOSwV1xfEfBq/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/SV0AAOSwN45fEe8Q/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/hX0AAOSw0kRfEe8U/$_2.JPG
0,"
                            Beautiful Room for August 1st
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-room-for-august-1st/1513280109?null&siteLocale=en_CA,"85 Henderson Ave, Thornhill, ON L3T 2L1, Canada",Apartment,700.0,1,15,43.8068853,-79.4078957,0.0,1.0,1.0,1.0,1.0,0,0.0,300,1.0,1.0,47,59,47,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/8LMAAOSwNIdfFc8m/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/RDsAAOSwIitfFc8i/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/QLgAAOSwkldfFc8e/$_2.JPG
1,"
                            255 Dundas, Multi-Level 2BR/1.5 Bath with Private Patio and A/C
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/255-dundas-multi-level-2br-1-5-bath-with-private-patio-and-a-c/1507531081?null&siteLocale=en_CA,"255 Dundas St E, Toronto, ON M5A 1Z7, Canada",Apartment,2400.0,2,15,43.6578739,-79.37249249999999,0.0,0.0,1.0,1.0,1.0,0,0.0,1000,0.0,1.0,94,96,99,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/0ocAAOSwdD9e7UzH/$_27.JPG,https://i.ebayimg.com/00/s/NjgwWDgwMA==/z/iBoAAOSwGhpe7UzK/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/SUoAAOSwfhde7UzP/$_2.JPG
2,"
                            599 BROCK, Bloor/Dufferin, Prof. Managed 2BR Bsmt, UTIL FREE
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/599-brock-bloor-dufferin-prof-managed-2br-bsmt-util-free/1500534768?null&siteLocale=en_CA,"599 Brock Ave, Toronto, ON M6H 3N9, Canada",Apartment,1800.0,2,1,43.6586534,-79.4388065,1.0,1.0,1.0,1.0,0.0,0,0.0,800,0.0,0.0,91,91,80,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/JhUAAOSwzxBeuj7q/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/ZygAAOSwVVBeuj7w/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/B9cAAOSwJZVe0ZH2/$_2.JPG
3,"
                            Upscale 1 Bedroom Suite Yonge & Davisville
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-1-bedroom-suite-yonge-davisville/1505977774?null&siteLocale=en_CA,"345 Merton St, Toronto, ON M4S 1B5, Canada",Apartment,1850.0,1,1,43.6979954,-79.385711,0.0,1.0,1.0,1.0,1.0,0,0.0,800,0.0,0.0,76,74,58,https://i.ebayimg.com/00/s/NTYzWDgwMA==/z/35cAAOSw6Spe4l-t/$_27.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/aNYAAOSwSz1e4l-4/$_2.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/FqsAAOSw9~Ne4l~W/$_2.JPG
4,"
                            Upscale 3 Bedroom Apt on Roselawn Ave
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-3-bedroom-apt-on-roselawn-ave/1500422063?null&siteLocale=en_CA,"838 Roselawn Ave, York, ON M6B 1B3, Canada",Apartment,2800.0,3,2,43.7026578,-79.4401712,0.0,1.0,1.0,1.0,1.0,0,0.0,1443,0.0,1.0,68,83,75,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/qP0AAOSwPTNeuYUR/$_27.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/Sr4AAOSw8AJeuYUq/$_2.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/uJAAAOSwhl1euYVQ/$_2.JPG
5,"
                            Upscale 2 Bedroom Suite Yonge & Davisville
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-2-bedroom-suite-yonge-davisville/1501096296?null&siteLocale=en_CA,"345 Merton St, Toronto, ON M4S 1B5, Canada",Apartment,2200.0,2,15,43.6979954,-79.385711,0.0,1.0,1.0,1.0,1.0,0,0.0,900,0.0,1.0,76,74,58,https://i.ebayimg.com/00/s/NTYzWDgwMA==/z/HAsAAOSwR-tevuGY/$_27.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/FtcAAOSwLrRevuGm/$_2.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/SogAAOSwkB9evuGz/$_2.JPG
6,"
                            Islington Terrace #3835 - Luxury Condo for Rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/islington-terrace-3835-luxury-condo-for-rent/1510187969?null&siteLocale=en_CA,"7 Mabelle Avenue, Toronto, ON, M9A 0C9",Apartment,1850.0,1,1,43.645586,-79.527417,0.0,0.0,0.0,0.0,0.0,0,1.0,488,0.0,0.0,80,96,75,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/EhEAAOSwWxlfEGAP/$_27.JPG,https://i.ebayimg.com/00/s/ODM3WDQzNA==/z/EjsAAOSw~O5fEGAP/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/TgIAAOSwvi9fEGAP/$_2.JPG
7,"
                            Bright Clean Furnished 1 Bedroom Apartment Parkdale Queen West
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-clean-furnished-1-bedroom-apartment-parkdale-queen-west/1513275945?null&siteLocale=en_CA,"482 Dufferin St, Toronto, ON M6K 2A5, Canada",Apartment,2100.0,1,1,43.6456169,-79.4300593,1.0,1.0,1.0,1.0,1.0,0,0.0,600,1.0,1.0,85,87,90,http://img.youtube.com/vi/YX1y3rcCqnQ/0.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/BzAAAOSw8FlfFcpX/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/xxMAAOSwVapfFcpP/$_2.JPG
