,title,ad_url,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
0,"
                            Beautiful Large 2 bdrm+ in Junction Triangle/ Carleton Village
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-large-2-bdrm-in-junction-triangle-carleton-village/1512818467?null&siteLocale=en_CA,", M6N 2X7, Toronto, ON",Apartment,2450.0,2.5,1,43.6735583,-79.4569403,0.0,0.0,0.0,1.0,1.0,1,0.0,1000,0.0,1.0,87,77,77,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/NZgAAOSwhU5fEmCd/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/pBUAAOSwF9FfEmEN/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/cdcAAOSwvY5fEl51/$_2.JPG
1,"
                            Bloordale Village Apartment, Walk to Subway and Shops!!
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bloordale-village-apartment-walk-to-subway-and-shops/1507374361?null&siteLocale=en_CA,"500 St Clarens Ave, Toronto, ON M6H 3W5, Canada",Apartment,2499.0,2.5,1,43.660029,-79.44262049999999,0.0,0.0,0.0,1.0,1.0,0,0.0,830,0.0,1.0,85,92,80,https://i.ebayimg.com/00/s/ODAwWDM4OA==/z/~oMAAOSwWVxe7BSs/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/ezcAAOSwMnde7BVe/$_2.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/C-0AAOSwMThe7BV8/$_2.JPG
2,"
                            Spacious Leslieville 2 Bedroom
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-leslieville-2-bedroom/1512815945?null&siteLocale=en_CA,"Pape Ave, Toronto, ON, Canada",Apartment,2499.0,2,1,43.67811589999999,-79.3445453,1.0,1.0,1.0,1.0,1.0,1,0.0,799,0.0,1.0,95,89,84,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/kJ4AAOSws6JfEl3I/$_27.JPG,https://i.ebayimg.com/00/s/Mjc1WDQxMw==/z/6mQAAOSwf8dfEl3E/$_2.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/eEEAAOSwWJ5fEl3G/$_2.JPG
3,"
                            GOOD TENANT BUT HAVE LOW CREDIT
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/good-tenant-but-have-low-credit/1512814186?null&siteLocale=en_CA,", scarborough M1R 1C6 ON, Canada",Apartment,2099.0,1,1,43.7345914,-79.30588689999999,0.0,1.0,1.0,1.0,1.0,1,1.0,700,0.0,1.0,60,68,69,,,
4,"
                            SECURE AN APARTMENT WITH LOW CREDIT AND REMAIN STRESS-FREE
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/secure-an-apartment-with-low-credit-and-remain-stress-free/1512813930?null&siteLocale=en_CA,", scarborough M1P 2E1 ON, Canada",Apartment,2041.0,1,1,43.74681940000001,-79.2841369,0.0,1.0,1.0,1.0,1.0,1,1.0,700,0.0,1.0,68,67,54,,,
5,"
                            3 bed two full bath apt for rent in Etobicoke North 
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bed-two-full-bath-apt-for-rent-in-etobicoke-north/1512813838?null&siteLocale=en_CA,"M9V, Canada",Apartment,2500.0,3,2,43.7394164,-79.58843689999999,0.0,1.0,1.0,1.0,1.0,1,1.0,1200,1.0,1.0,57,76,52,,,
6,"
                            Spacious & Bright Luxury Rental in the Heart Forest Hill! HUGE!
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-bright-luxury-rental-in-the-heart-forest-hill-huge/1507319026?null&siteLocale=en_CA,"310 & 320 Tweedsmuir Ave, Toronto, ON, M5P 2Y2",Apartment,4455.0,2,2,43.6858938,-79.41455909999999,0.0,1.0,1.0,1.0,0.0,0,1.0,1457,0.0,1.0,84,85,56,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/h9gAAOSw9uRfBMjF/$_27.JPG,https://i.ebayimg.com/00/s/NjE5WDExMDA=/z/Ri0AAOSwQE9fBMjE/$_2.JPG,https://i.ebayimg.com/00/s/NjE5WDExMDA=/z/yicAAOSwo9JfBMjE/$_2.JPG
7,"
                            RENOVATED JUNCTION TRIANGLE UNIT @LANSDOWNE & BLOOR W LAUNDRY
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-junction-triangle-unit-lansdowne-bloor-w-laundry/1512813088?null&siteLocale=en_CA,"Sarnia Ave, Toronto, ON M6P, Canada",Apartment,2200.0,2,1,43.6625738,-79.4478563,1.0,1.0,1.0,1.0,1.0,1,0.0,700,0.0,1.0,79,95,84,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/~QgAAOSwDbJfEleX/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/Gm4AAOSwNmpfEleS/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/lwwAAOSwx4JfEleV/$_2.JPG
8,"
                            Gowan Court - 1 Bedroom, 1 Bathroom for Rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/gowan-court-1-bedroom-1-bathroom-for-rent/1507228135?null&siteLocale=en_CA,"80 Gowan Avenue, Toronto, ON, M4K 2E1",Apartment,1789.0,1,1,43.6881682,-79.35157199999999,0.0,1.0,1.0,0.0,0.0,0,0.0,410,0.0,0.0,77,69,63,https://i.ebayimg.com/00/s/NzY4WDgyOA==/z/7HsAAOSwDNle60iX/$_27.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTA=/z/JQEAAOSwOWBe60iY/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/NpMAAOSwKx9e60iX/$_2.JPG
9,"
                            2464 Weston Rd #915 - Condo Unit Apartment for Rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2464-weston-rd-915-condo-unit-apartment-for-rent/1507227715?null&siteLocale=en_CA,"2464 Weston Rd, North York, ON, M9N 0A2",Apartment,1900.0,1,1,43.708237,-79.5341308,0.0,0.0,1.0,0.0,0.0,0,0.0,499,0.0,0.0,61,63,50,https://i.ebayimg.com/00/s/NzY4WDExNTM=/z/h~MAAOSw7ple60fz/$_27.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTM=/z/om0AAOSwjW5e60f0/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTM=/z/dYMAAOSwby5e60fy/$_2.JPG
