,title,ad_url,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
0,"
                            RENOVATED KEELE & EGLINTON 1 BDR WITH DISHWASHER & LAUNDRY AUG 1
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-keele-eglinton-1-bdr-with-dishwasher-laundry-aug-1/1512439386?null&siteLocale=en_CA,"Donald Ave, Toronto, ON M6M, Canada",Apartment,1400,1,1,43.6866209,-79.4662971,1,1,1,1,1,1,0,700,0,0,60,70,40,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/s-UAAOSwVH1fD7gc/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/1IoAAOSwQDZfD7gm/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/LLAAAOSw5S5fD7gp/$_2.JPG
1,"
                            ★BEAUTIFUL 1 BED, 1 BATH CONDO IN DOWNTOWN TORONTO★
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-1-bed-1-bath-condo-in-downtown-toronto/1512438343?null&siteLocale=en_CA,"170 Bayview Ave, Toronto, ON M5A 0G4, Canada",Apartment,1795,1,1,43.6553616,-79.353782,0,0,0,1,0,0,1,542,0,1,76,88,97,https://i.ebayimg.com/00/s/NTM3WDgwMA==/z/y9AAAOSwwnlfD7Y2/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/-SgAAOSwjiNfD7Y6/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/SOUAAOSwIexfD7Y8/$_2.JPG
2,"
                            GOOD TENANT BUT HAVE LOW CREDIT
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/good-tenant-but-have-low-credit/1512434946?null&siteLocale=en_CA,", scarborough M1B 0A9 ON, Canada",Apartment,2099,1,1,43.8075064,-79.1797191,0,1,1,1,1,1,1,700,0,1,15,59,53,,,
3,"
                            SECURE AN APARTMENT WITH LOW CREDIT AND REMAIN STRESS-FREE
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/secure-an-apartment-with-low-credit-and-remain-stress-free/1512434684?null&siteLocale=en_CA,", scarborough M1B 1A1 ON, Canada",Apartment,2041,1,1,43.7972624,-79.2273163,0,1,1,1,1,1,1,700,0,1,59,68,33,,,
4,"
                            Apply and Get Approved with a LOW CREDIT SCORE
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/apply-and-get-approved-with-a-low-credit-score/1512433087?null&siteLocale=en_CA,", east york M4B 1B6 ON, Canada",Apartment,2055,1,1,43.7009351,-79.2936476,0,1,1,1,1,1,1,700,0,1,52,80,70,,,
5,"
                            RENOVATED JUNCTION TRIANGLE @LANSDOWNE & BLOOR AVAILABLE SEPT 1
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-junction-triangle-lansdowne-bloor-available-sept-1/1512433004?null&siteLocale=en_CA,"Sarnia Ave, Toronto, ON M6P, Canada",Apartment,2200,2,1,43.6625738,-79.4478563,1,1,1,1,1,1,0,800,0,1,79,95,84,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/RcgAAOSwGm5fD61n/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/-tcAAOSwxjtfD61k/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/JoQAAOSwuSxfD61s/$_2.JPG
6,"
                            Renovated one bedroom, King and Dufferin
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-one-bedroom-king-and-dufferin/1506948196?null&siteLocale=en_CA,"99 Tyndall Ave, Toronto, ON, M6K 2G2",Apartment,1975,1,1,43.636635,-79.4276516,0,1,1,1,1,0,0,680,0,1,75,89,55,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/7OAAAOSwGNtfDXVN/$_27.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/mfEAAOSwrx5fDXVM/$_2.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/Xp0AAOSwbEhfDXVM/$_2.JPG
7,"
                            Applications Approved for Honest Tenants
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/applications-approved-for-honest-tenants/1512432734?null&siteLocale=en_CA,", east york M3C 1A2 ON, Canada",Apartment,2045,1,1,43.7114093,-79.3222622,0,1,1,1,1,1,1,700,0,1,27,67,23,,,
8,"
                            Yonge_Steeles Furnished Basement Room Central Toronto 24 HR Bus
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge_steeles-furnished-basement-room-central-toronto-24-hr-bus/1512431486?null&siteLocale=en_CA,", toronto m2m3x9 ON, Canada",Apartment,689,1,1,43.7975635,-79.4196618,1,1,1,1,0,0,0,577,0,1,77,75,50,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/2k8AAOSw5Y9fD6sq/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/ozAAAOSwfb1fD6sx/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/kNUAAOSwYSlfD6s3/$_2.JPG
9,"
                            Cabbagetown Jr. 1 bedroom - 1 year lease - avail. Sept 1
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/cabbagetown-jr-1-bedroom-1-year-lease-avail-sept-1/1512429154?null&siteLocale=en_CA,"Homewood Ave, Toronto, ON M4Y 2J8, Canada",Apartment,1300,1,1,43.6631362,-79.3744298,1,1,1,1,0,0,0,350,1,1,93,87,10,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/5h4AAOSwuupfD6em/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/JOwAAOSwJ~dfD6ep/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/tMQAAOSwAmNfD6et/$_2.JPG
