,title,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
0,"
                            3 BEDROOMS FOR RENT MAIN FLOOR OF HOUSE - TTC - APARTMENT
                        ","166 Wallace Ave, Toronto, ON M6H 1V2, Canada",Apartment,2400,3,1,43.6628148,-79.4431959,0,0,0,1,0,0,0,"1,200",0,0,78,88,54,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/DRwAAOSwDO9fC9fO/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/3lwAAOSwDTJfC9fS/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/WyEAAOSwyIVfC9fV/$_2.JPG
1,"
                            SOLID APPLICANTS ACCEPTED WITH LOW CREDIT
                        ",", York M6E 3W4 ON, Canada",Apartment,2086,1,1,43.6846985,-79.4476221,0,1,1,1,1,1,1,706,0,1,61,75,58,,,
2,"
                            Quiet apartment available west end
                        ","M6N4P4, Canada",Basement,1100,Bachelor/Studio,1,43.6809252,-79.4891951,0,1,1,1,1,0,0,"1,150",0,0,11,73,36,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/iuIAAOSwSkhfC9Nz/$_27.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/FP8AAOSwjldfC9N1/$_2.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/Iz0AAOSwiwpfC9N2/$_2.JPG
3,"
                            Studio Apartment for rent
                        ",", M9v2r8, Etobicoke, ON",Basement,900,Bachelor/Studio,1,43.7369716,-79.5570074,1,1,1,1,1,0,0,400,0,1,46,57,65,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/9rkAAOSwxRpfC9RQ/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/Ph8AAOSwi~xfC9RU/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/i1gAAOSwSkhfC9RX/$_2.JPG
4,"
                            WE APPROVE GREAT RENTERS WITH LOW CREDIT
                        ",", East York M4B 2T4 ON, Canada",Apartment,2091,1,1,43.7087682,-79.3115218,0,0,1,1,1,1,1,708,0,1,72,61,60,,,
5,"
                            WE HELP GOOD TENANTS WITH BAD CREDIT
                        ",", Brampton L6Y 5P9 ON, Canada",Apartment,2084,1,1,43.6416547,-79.7424411,0,1,1,1,1,1,1,703,0,1,16,51,37,,,
6,"
                            Pristine, chic, modern, European style, 2 bed basement
                        ","151 Wallace Ave, Toronto, ON M6H 1V1, Canada",Basement,1950,2,1,43.6625299,-79.442463,1,1,1,1,0,0,0,"1,000",0,1,82,91,54,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/rJsAAOSwZutfC9Gy/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDUzMw==/z/mzcAAOSwY5NfC9G0/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDUzMw==/z/rt8AAOSw4rxfC9G3/$_2.JPG
7,"
                            Fantastic Three Bedroom Lower Level - IDEAL FOR STUDENTS!!!
                        ",", m5s 2J9, Toronto, ON",House,3300,3,1,43.6600593,-79.4019844,0,0,1,1,1,0,0,"1,000",0,1,88,97,75,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/gIIAAOSwy5NfCyhT/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/EaEAAOSwHnxfCyhf/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/jzoAAOSwx65fCyhm/$_2.JPG
8,"
                            WE GUIDE HONEST TENANTS TO WITH LOW CREDIT
                        ",", North York M2R 1X3 ON, Canada",Apartment,2097,1,1,43.7710987,-79.4427868,0,1,1,1,1,1,1,710,0,1,52,67,59,,,
9,"
                            SOLID APPLICANTS ACCEPTED TO RENT QUICKLY
                        ",", Oakville L6M 4V7 ON, Canada",Apartment,2097,1,1,43.450216,-79.7058057,0,1,1,1,1,1,1,700,0,1,60,30,45,,,
